[-28.844755, 18.788761] - label 0
[-1.353513, -10.603085] - label 1
[-6.801849, 7.725351] - label 1
[5.016375, -11.244758] - label 1
[-2.30161, -2.113191] - label 1
[3.238297, -13.481383] - label 1
[-6.073392, 5.57682] - label 1
[11.376736, -10.350853] - label 1
[-4.370106, 16.007706] - label 1
[12.95302, -1.001569] - label 1
[-0.832611, 1.19212] - label 1
[14.795122, -14.367194] - label 1
[-8.097209, 23.17968] - label 1
[-8.885216, 5.447604] - label 1
[-7.793294, 3.349116] - label 1
[-12.682588, 1.237275] - label 1
[-1.767082, 8.917855] - label 1
[-18.493557, 7.897035] - label 1
[-0.733314, -3.941004] - label 1
[1.237085, 6.423827] - label 1
[-2.331363, -1.26859] - label 1
[1.418758, -2.374361] - label 1
[7.98257, -1.855424] - label 1
[5.183411, 3.565723] - label 1
[2.830093, 0.896507] - label 1
[0.694269, -4.844163] - label 1
[0.565987, -0.567076] - label 1
[-3.278005, 7.665072] - label 1
[2.132598, 8.867654] - label 1
[4.437314, -3.816994] - label 1
[10.9823, -5.54492] - label 1
[6.937631, -4.778019] - label 1
[13.673224, -24.300035] - label 1
[3.988453, 7.242281] - label 1
[-6.030641, -0.765542] - label 1
[-2.701345, -1.462352] - label 1
[6.442409, 1.732378] - label 1
[-4.799076, 5.870364] - label 1
[7.002415, -9.777833] - label 1
[5.931732, -2.514339] - label 1
[-3.013537, 7.739477] - label 1
[-6.052686, 2.543698] - label 1
[-1.951898, 7.666851] - label 1
[8.924104, 4.6443] - label 1
[-1.354658, -7.38781] - label 1
[7.849717, -8.360184] - label 1
[-0.81473, 5.224309] - label 1
[-12.90211, 1.766283] - label 1
[9.397778, -6.123632] - label 1
[-6.062596, 5.882176] - label 1
[10.991411, -15.301003] - label 1
[7.64469, -15.495126] - label 1
[0.880122, 4.843583] - label 1
[10.317564, -6.367725] - label 1
[-1.592437, -0.09031] - label 1
[5.047485, -14.593867] - label 1
[-4.94818, 2.763356] - label 1
[11.409891, 0.152133] - label 1
[-4.091186, 4.786683] - label 1
[-13.804897, 13.46883] - label 1
[-3.069976, 6.192188] - label 1
[-12.615394, 7.889521] - label 1
[-2.862432, -3.317012] - label 1
[-5.19841, 6.080931] - label 1
[-4.419157, 15.10677] - label 1
[4.612922, -3.683092] - label 1
[-7.691772, 0.753676] - label 1
[10.130894, -4.48563] - label 1
[1.467031, -2.548069] - label 1
[-1.202536, 7.574795] - label 1
[-3.063523, 9.193535] - label 1
[0.197995, 3.522788] - label 1
[3.173553, 5.603056] - label 1
[0.238237, 1.013671] - label 1
[-6.141011, 3.885795] - label 1
[-5.460096, -7.2736] - label 1
[-2.093657, 4.602241] - label 1
[3.765328, -9.058761] - label 1
[18.6292, -19.269024] - label 1
[8.259389, -5.929233] - label 1
[6.470613, 0.995558] - label 1
[-4.366279, 1.41239] - label 1
[5.148375, 0.981287] - label 1
[4.411321, -1.511557] - label 1
[-8.064283, -6.780971] - label 1
[8.08517, -11.979589] - label 1
[-0.983041, 10.564793] - label 1
[-8.454783, -5.481254] - label 1
[-3.161392, -0.943213] - label 1
[-3.696698, -3.446639] - label 1
[11.840304, -2.597146] - label 1
[28.252224, -18.770887] - label 1
[0.93488, -4.643908] - label 1
[13.476035, -5.186328] - label 1
[8.007501, -7.319398] - label 1
[-12.066619, 16.223167] - label 1
[-4.539951, -0.372312] - label 1
[8.730912, -5.234438] - label 1
[7.051986, 1.638185] - label 1
[1.403123, 4.421898] - label 1
[5.526371, 3.520592] - label 1
[-8.003518, 6.498217] - label 1
[6.521788, -0.765229] - label 1
[7.101499, -9.006087] - label 1
[3.992499, -6.733503] - label 1
[-1.099462, 12.153457] - label 1
[12.925217, -13.323013] - label 1
[8.787855, -8.898114] - label 1
[-16.176945, 5.376835] - label 1
[-11.272604, 17.131613] - label 1
[2.940145, -2.142063] - label 1
[0.785812, 2.446274] - label 1
[-4.587578, -7.496781] - label 1
[7.307118, 1.699787] - label 1
[-7.48658, 3.335691] - label 1
[-7.781934, 9.652826] - label 1
[-7.438608, 2.066649] - label 1
[0.139069, -3.624528] - label 1
[-4.618702, -2.125347] - label 1
[-2.675035, 8.007222] - label 1
[-7.471091, -5.496571] - label 1
[4.193128, -8.501799] - label 1
[9.968724, 1.062864] - label 1
[-5.616841, -1.107322] - label 1
[-1.40869, 7.300786] - label 1
[9.374697, -5.313913] - label 1
[-5.948642, 2.402719] - label 1
[-5.719313, -0.722819] - label 1
[4.641045, -0.883382] - label 1
[2.263459, -7.749301] - label 1
[-3.290433, 1.282292] - label 1
[6.187683, -4.675527] - label 1
[5.818753, -6.752417] - label 1
[-12.01137, 7.484108] - label 1
[9.839206, -0.174577] - label 1
[4.673444, -15.597107] - label 1
[-2.148794, -1.862149] - label 1
[-0.299522, 12.392415] - label 1
[17.794392, -10.425291] - label 1
[-0.177567, -5.856708] - label 1
[-6.137558, 8.625773] - label 1
[1.656821, 7.358783] - label 1
[-8.776509, 8.710295] - label 1
[0.072576, 12.218723] - label 1
[0.383436, 4.690401] - label 1
[3.664487, -4.77401] - label 1
[-2.392417, -1.242336] - label 1
[8.408719, -12.190167] - label 1
[16.033054, -10.269532] - label 1
[-5.240425, 4.483442] - label 1
[5.811416, -7.726752] - label 1
[5.799516, -17.215206] - label 1
[0.076426, 5.783837] - label 1
[-15.249679, 14.773149] - label 1
[2.844148, 8.943216] - label 1
[-3.196255, 2.283763] - label 1
[6.936409, -2.70938] - label 1
[-3.205942, 9.00005] - label 1
[-1.77722, -6.278203] - label 1
[-3.304295, 8.837907] - label 1
[-6.602333, 5.375752] - label 1
[-3.429935, 7.759161] - label 1
[-16.862705, -5.007674] - label 0
[-16.137087, 5.552684] - label 1
[-3.726958, 3.931655] - label 1
[-5.343114, 5.448149] - label 1
[-2.629343, -6.964019] - label 1
[-1.788141, 7.808798] - label 1
[-2.228145, 0.669008] - label 1
[-4.589595, 13.944696] - label 1
[-7.714954, -6.512389] - label 1
[-2.415807, 0.976555] - label 1
[-0.804391, 17.39738] - label 1
[-17.405445, 4.374197] - label 0
[2.320421, -13.992924] - label 1
[-4.224498, 2.040947] - label 1
[1.203536, -5.739209] - label 1
[21.72419, -7.06264] - label 1
[-6.328887, 2.383009] - label 1
[13.791088, -8.818656] - label 1
[-14.170684, 4.794412] - label 1
[0.319497, 9.08237] - label 1
[-9.547589, 1.067183] - label 1
[-0.55644, -3.839193] - label 1
[-8.709379, 3.561652] - label 1
[2.463488, -5.239682] - label 1
[-14.57645, 4.432643] - label 1
[4.54731, 4.990899] - label 1
[3.092121, -14.231532] - label 1
[-11.202155, 18.423288] - label 1
[1.123344, 5.936054] - label 1
[5.017909, 2.645763] - label 1
[11.754979, -4.83663] - label 1
[4.788207, -1.33071] - label 1
[-2.787843, -8.10779] - label 1
[-0.792124, -2.432026] - label 1
[-5.877701, 2.274158] - label 1
[2.313274, -10.22298] - label 1
[3.360886, -12.546063] - label 1
[6.100856, 6.032198] - label 1
[7.413749, -8.158041] - label 1
[19.090878, -10.72162] - label 1
[-5.414116, 8.978922] - label 1
[6.81695, 8.513347] - label 1
[2.050461, 1.318025] - label 1
[14.695497, -4.890668] - label 1
[2.972769, -1.689183] - label 1
[19.456251, -13.152385] - label 1
[6.309018, -11.63911] - label 1
[-6.782317, 10.713437] - label 1
[0.221033, -2.229227] - label 1
[1.015906, -7.644759] - label 1
[-3.028625, 6.655153] - label 1
[11.774114, -11.45773] - label 1
[6.575355, -8.82252] - label 1
[5.323386, 4.250989] - label 1
[3.419954, 3.8919] - label 1
[4.763301, -6.840625] - label 1
[4.13237, -9.934084] - label 1
[16.68355, -24.7366] - label 1
[-1.867305, -5.078651] - label 1
[7.535598, -1.747331] - label 1
[-4.983895, 13.207536] - label 1
[-14.559758, 26.078606] - label 1
[-15.145086, 1.803991] - label 0
[4.416528, -2.84859] - label 1
[-4.349286, 0.453961] - label 1
[-0.897414, -4.846463] - label 1
[-6.796687, -0.52686] - label 1
[-11.65446, -1.301617] - label 1
[-1.798063, -3.752157] - label 1
[5.797501, -19.485226] - label 1
[-4.977553, -1.404739] - label 1
[-17.370686, 12.338202] - label 1
[2.574551, -1.739594] - label 1
[11.447228, -2.461288] - label 1
[-1.452659, 0.524513] - label 1
[7.205993, -12.39701] - label 1
[-8.11787, -1.285514] - label 1
[11.990622, -1.752647] - label 1
[-12.630071, 11.026997] - label 1
[3.510157, -1.522235] - label 1
[-2.415324, 3.561151] - label 1
[-4.600544, -10.96562] - label 1
[12.037672, -14.163757] - label 1
[1.625454, -5.289255] - label 1
[-10.339682, 13.699609] - label 1
[-11.722257, -11.910146] - label 0
[-8.019172, 16.32386] - label 1
[10.542935, -11.044206] - label 1
[8.784138, 9.256326] - label 1
[6.6376, 6.262784] - label 1
[-14.655883, 5.264854] - label 1
[2.5852, -3.88831] - label 1
[-3.909566, -8.641993] - label 1
[-6.41389, 0.901652] - label 1
[-2.539917, 3.392418] - label 1
[-2.698672, 0.241819] - label 1
[-14.206332, 3.812117] - label 1
[-4.855639, 8.385599] - label 1
